Station,fx,fy,fz,Latitude,Longitude,Zone,Postcode,Zone_original
Abbey Road,539081,183352,0,51.53195199547290,0.003723371,3,E15 3NB,3
Abbey Wood,547297,179002,0,51.49078429543710,0.12027197064065100,4,SE2 9RH,4
Acton Central,520613,180299,0,51.508757351253400,-0.263430195,2,W3 6BH,2
Acton Main Line,520296,181196,0,51.516886495162900,-0.267689948,3,W3 9EH,3
Acton Town,519457,179639,0,51.50307098636340,-0.280302697,3,W3 8HN,3
Addington Village,537082,163744,0,51.35623853949500,-0.0326651,3,CR0 5AR,"3,4,5,6"
Addiscombe,534190,166290,0,51.37980817216770,-0.073213283,3,CR0 7AA,"3,4,5,6"
Albany Park,547903,172902,0,51.435815816166300,0.1264446387204620,5,DA5 3HP,5
Aldgate,533629,181246,0,51.51434226,-0.075626912,1,EC3N 1AH,1
Aldgate East,533809,181333,0,51.515081505698700,-0.073001462,1,E1 7PT,1
Alexandra Palace,530300,190498,0,51.59826262860600,-0.120148971,3,N22 7ST,3
All Saints,538012,180933,0,51.51047690641240,-0.012624885,2,E14 0EH,2
Alperton,518025,183849,0,51.54120878643840,-0.299515753,4,HA0 4LL,4
Amersham,496454,198181,0,51.674128328342700,-0.606513768,9,HP6 5AZ,9
Ampere Way,530674,166476,0,51.38229921988810,-0.123636798,3,CR0 3JX,"3,4,5,6"
Anerley,534656,169942,0,51.41251661375110,-0.0651371,4,SE20 8PY,4
Angel,531497,183263,0,51.53296784539840,-0.105581448,1,N1 8XB,1
Angel Road,535204,192202,0,51.612420242475800,-0.048732919,4,N18 3AY,4
Archway,529356,186827,0,51.56549031545970,-0.135121576,2,N19 5RQ,"2,3"
Arena,535192,167620,0,51.391522658988500,-0.05831855,3,SE25 4RY,"3,4,5,6"
Arnos Grove,529271,192471,0,51.616229924551400,-0.134270218,4,N11 1AN,4
Arsenal,531429,186107,0,51.55854120559970,-0.105499933,2,N5 1LP,2
Avenue Road,535764,169335,0,51.406797904315400,-0.049446937,3,BR3 4NJ,"3,4,5,6"
Baker Street,527965,182078,0,51.52312936605880,-0.156904193,1,NW1 5LA,1
Balham,528482,173195,0,51.443182314397000,-0.152685162,3,SW12 9SG,3
Bank,532704,181111,0,51.51334691914180,-0.089000123,1,EC3V 3LA,1
Banstead,524590,160426,0,51.32929277590570,-0.213132334,6,SM7 1RB,6
Barbican,532079,181859,0,51.520215126107800,-0.097721578,1,EC1A 4JA,1
Barking,544405,184343,0,51.53952124839740,0.08083161,4,IG11 8TU,4
Barkingside,544788,189510,0,51.58585076146280,0.08847664,4,IG6 1NB,4
Barnehurst,550206,176193,0,51.464780553326300,0.16094802394688500,6,DA7 6HQ,6
Barnes,522209,175705,0,51.46712737869090,-0.242033059,3,SW13 0LW,3
Barnes Bridge,521478,176255,0,51.47222764,-0.252362613,3,SW13 0NR,3
Barons Court,524133,178322,0,51.49022833,-0.213430142,2,W14 9DP,2
Battersea Park,528703,176999,0,51.47731808303140,-0.14812376,2,SW8 4NB,2
Battersea Power Station,529122,177252,0,51.479496343757300,-0.142001351,1,SW11 8AL,1
Bayswater,525845,180799,0,51.51211098317960,-0.187901572,1,W2 4QH,1
Beckenham Hill,538002,171379,0,51.42462603356410,-0.016495762,4,SE6 3NU,4
Beckenham Junction,537403,169840,0,51.410941601884700,-0.025701739,4,BR3 1HY,4
Beckenham Road,536177,169650,0,51.40952967986140,-0.043391922,3,BR3 4RR,"3,4,5,6"
Beckton,543145,181509,0,51.51437673300680,0.061525297,3,E6 5NT,3
Beckton Park,542697,180887,0,51.50890088618670,0.054821939,3,E6 5NE,3
Becontree,547598,184442,0,51.53958561974400,0.12688029269359400,5,RM9 4TP,5
Beddington Lane,529367,167215,0,51.389239651469800,-0.142138433,3,CR0 4TF,"3,4,5,6"
Belgrave Walk,526805,168455,0,51.400961356342700,-0.178496472,3,CR4 4NY,"3,4,5,6"
Bellingham,537702,172399,0,51.433864862646100,-0.02041177,3,SE6 3BT,3
Belmont,525500,162098,0,51.34411959994200,-0.199489251,5,SM2 6BH,5
Belsize Park,527399,185075,0,51.55019061178190,-0.163974491,2,NW3 2AL,2
Belvedere,549498,179197,0,51.49195925487850,0.15203379329231400,5,DA17 6JW,5
Bermondsey,534461,179445,0,51.49796067750630,-0.06433009,2,SE16 4RX,2
Berrylands,519728,168040,0,51.39876794902150,-0.280321473,5,KT5 8LT,5
Bethnal Green,534995,182712,0,51.527191653122100,-0.055392111,2,E2 0ET,2
Bethnal Green Rail,534683,182380,0,51.524282643710500,-0.060013742,2,E2 6JL,2
Bexley,549399,173502,0,51.44081477613680,0.1482039142729930,6,DA5 1AQ,6
Bexleyheath,548294,176000,0,51.46355017881960,0.13336296607247600,5,DA7 4AA,5
Bickley,542304,168799,0,51.400379644488500,0.044304031699826500,5,BR1 2EB,5
Birkbeck,535297,168996,0,51.40386300465970,-0.056286236,4,BR3 4TA,4
Blackfriars,531738,180890,0,51.511586761695000,-0.102995385,1,EC4V 4DD,1
Blackheath,539604,175961,0,51.46540802722940,0.008336595,3,SE3 9LE,3
Blackhorse Lane,534362,166844,0,51.384746070367600,-0.070533948,3,CR0 6NL,"3,4,5,6"
Blackhorse Road,535914,189256,0,51.58577656484630,-0.039625711,3,E17 6JJ,3
Blackwall,538394,180649,0,51.50783153133500,-0.007235166,2,E14 9QB,2
Bond Street,528497,181053,0,51.513797282327400,-0.149613609,1,W1C 2HU,1
Borough,532379,179734,0,51.50104871772220,-0.094197323,1,SE1 1JX,1
Boston Manor,516391,178755,0,51.49576500584810,-0.324747183,4,TW8 9LQ,4
Bounds Green,529996,191466,0,51.60703172061750,-0.124177065,3,N11 2EU,"3,4"
Bow Church,537414,182824,0,51.52761517272710,-0.020499899,2,E3 3AA,2
Bow Road,537148,182753,0,51.52704176950970,-0.024359591,2,E3 4DH,2
Bowes Park,530299,191498,0,51.60724932125090,-0.119792218,3,N22 8NL,"3,4"
Brent Cross,523905,187927,0,51.57659886839310,-0.213335838,3,NW11 9UA,3
